edge_id,source_node,target_node,edge_type,weight,distance_pixels,phase_difference_rad,time_difference_sec
G00215,N0082,N0066,SPATIAL,0.0477213561534882,5.65685424949238,0.0251329597085714,3.04024297646166
G00216,N0083,N0087,SPATIAL,0.467575669288635,1.4142135623731,0.00628328276798129,0.760060744115414
G00217,N0083,N0091,SPATIAL,0.218568727374077,2.82842712474619,0.0125664481893182,1.52012148823083
G00218,N0083,N0095,SPATIAL,0.102257117629051,3.60555127546399,0.0125664481893182,2.27942293090357
G00219,N0084,N0088,SPATIAL,0.468286275863647,1.4142135623731,0.00628328276798129,0.758542141230066
G00220,N0084,N0092,SPATIAL,0.219114229083061,2.23606797749979,0.00628328276798129,1.51784358390281
G00221,N0085,N0093,SPATIAL,0.218781724572182,2.23606797749979,0.00628328276798129,1.51936218678815
G00222,N0086,N0090,SPATIAL,0.466598838567734,3.16227766016838,0.0188498497009277,0.761579347000762
G00223,N0086,N0098,SPATIAL,0.102647617459297,5.8309518948453,0.0314154624938965,2.27410782080486
G00224,N0087,N0091,SPATIAL,0.467575669288635,1.4142135623731,0.00628316355869174,0.760060744115414
G00225,N0087,N0095,SPATIAL,0.218781724572182,2.23606797749979,0.00628316355869174,1.51936218678815
G00226,N0088,N0092,SPATIAL,0.467964321374893,1,0,0.759301442672744
G00227,N0088,N0096,SPATIAL,0.219233572483063,2.82842712474619,0.0125663289800286,1.51708428246014
G00228,N0089,N0101,SPATIAL,0.102568171918392,3.60555127546399,0.0125660905614495,2.27638572513288
G00229,N0089,N0105,SPATIAL,0.0480121225118637,5.65685424949238,0.0251326560974121,3.03416856492027
G00230,N0089,N0097,SPATIAL,0.218895435333252,11.1803398874989,0.069115161895752,1.51025056947608
G00231,N0089,N0077,SPATIAL,0.100713461637497,11.4017542509914,0.069115161895752,2.28625664388763
G00232,N0090,N0102,SPATIAL,0.101871162652969,5.8309518948453,0.031415943056345,2.28170083523159
G00233,N0090,N0066,SPATIAL,0.0104956058785319,6.32455532033676,0.0125660905614495,4.5542900531511
G00234,N0090,N0082,SPATIAL,0.219397202134132,6.32455532033676,0.0376990474760532,1.51404707668945
G00235,N0091,N0095,SPATIAL,0.467964321374893,1,0,0.75930144267274
G00236,N0092,N0096,SPATIAL,0.468541353940964,2.23606797749979,0.0125663289800286,0.757782839787396
G00237,N0092,N0100,SPATIAL,0.219233572483063,2.82842712474619,0.0125663289800286,1.51708428246014
G00238,N0093,N0097,SPATIAL,0.467575669288635,1.4142135623731,0.00628280593082309,0.760060744115414
G00239,N0093,N0081,SPATIAL,0.102356769144535,3.16227766016838,0.00628328276798129,2.2786636294609
G00240,N0094,N0098,SPATIAL,0.467575669288635,1.4142135623731,0.00628328276798129,0.760060744115414
G00241,N0094,N0086,SPATIAL,0.219397202134132,6.32455532033676,0.0376987420022488,1.51404707668945
G00242,N0094,N0070,SPATIAL,0.010502528399229,7.21110255092798,0.0251326560974121,4.55277145026576
G00243,N0096,N0100,SPATIAL,0.467964321374893,1,0,0.75930144267274
G00244,N0096,N0084,SPATIAL,0.10260933637619,4.24264068711928,0.0188496112823486,2.27562642369021
G00245,N0097,N0085,SPATIAL,0.102257117629051,3.60555127546399,0.0125660905614495,2.27942293090357
G00246,N0097,N0113,SPATIAL,0.0479543507099152,4.12310562561766,0.00628280593082309,3.03644646924829
G00247,N0098,N0070,SPATIAL,0.00490990234538913,7.61577310586391,0.0188493728637695,5.31283219438117
G00248,N0099,N0107,SPATIAL,0.218781724572182,2.23606797749979,0.00628316355869174,1.51936218678815
G00249,N0099,N0111,SPATIAL,0.102356769144535,3.16227766016838,0.00628316355869174,2.27866362946089
G00250,N0099,N0115,SPATIAL,0.0478815846145153,4.12310562561766,0.00628316355869174,3.03796507213364
G00251,N0100,N0088,SPATIAL,0.102568171918392,3.60555127546399,0.0125663289800286,2.27638572513288
G00252,N0100,N0084,SPATIAL,0.0479997284710407,5,0.0188496112823486,3.03492786636295
G00253,N0101,N0105,SPATIAL,0.468541353940964,2.23606797749979,0.0125665673986077,0.757782839787396
G00254,N0101,N0097,SPATIAL,0.462089627981186,9.05538513813742,0.056549072265625,0.766135155656794
G00255,N0101,N0093,SPATIAL,0.215756937861443,10.1980390271856,0.0628318786621094,1.52619589977221
G00256,N0102,N0106,SPATIAL,0.467575669288635,1.4142135623731,0.00628310814499855,0.760060744115414
G00257,N0102,N0110,SPATIAL,0.218781724572182,2.23606797749979,0.00628310814499855,1.51936218678815
G00258,N0102,N0114,SPATIAL,0.102512329816818,3.16227766016838,0.00628328276798129,2.27714502657555
G00259,N0103,N0107,SPATIAL,0.468850404024124,4.12310562561766,0.0251327753067017,0.756264236902052
G00260,N0103,N0111,SPATIAL,0.219378188252449,4.47213595499958,0.0251327753067017,1.51556567957479
G00261,N0103,N0115,SPATIAL,0.102635823190212,5,0.0251327753067017,2.27486712224754
G00262,N0103,N0099,SPATIAL,0.46535736322403,5.09901951359278,0.031415943056345,0.763097949886102
G00263,N0104,N0108,SPATIAL,0.467964321374893,1,0,0.75930144267274
G00264,N0104,N0112,SPATIAL,0.218963593244553,2,0,1.51860288534548
G00265,N0104,N0119,SPATIAL,0.0478349663317204,4.47213595499958,0.0125663289800286,3.03872437357631
G00266,N0104,N0123,SPATIAL,0.0224144272506237,5,0,3.7965072133637
G00267,N0105,N0097,SPATIAL,0.217040091753006,7.28010988928052,0.0439825057983398,1.52391799544419
G00268,N0105,N0113,SPATIAL,0.219290554523468,8.24621125123532,0.0502653121948242,1.5125284738041
G00269,N0106,N0110,SPATIAL,0.467964321374893,1,0,0.75930144267274
G00270,N0106,N0114,SPATIAL,0.219233572483063,2.82842712474619,0.0125663923099637,1.51708428246014
G00271,N0106,N0121,SPATIAL,0.0479213856160641,4,0,3.03720577069096
G00272,N0107,N0111,SPATIAL,0.467964321374893,1,0,0.75930144267274
G00273,N0107,N0115,SPATIAL,0.218963593244553,2,0,1.51860288534548
G00274,N0107,N0118,SPATIAL,0.102441854774952,3,0,2.27790432801822
G00275,N0108,N0112,SPATIAL,0.467964321374893,1,0,0.759301442672744
G00276,N0108,N0119,SPATIAL,0.102257117629051,3.60555127546399,0.0125663289800286,2.27942293090357
G00277,N0108,N0123,SPATIAL,0.0479213856160641,4,0,3.03720577069096
G00278,N0109,N0113,SPATIAL,0.467120438814163,2.23606797749979,0.0125665673986077,0.760820045558084
G00279,N0109,N0120,SPATIAL,0.102512329816818,3.16227766016838,0.00628328276798129,2.27714502657555
G00280,N0109,N0097,SPATIAL,0.10260933637619,4.24264068711928,0.0188493728637695,2.27562642369021
G00281,N0110,N0114,SPATIAL,0.468541353940964,2.23606797749979,0.0125663923099637,0.757782839787396
G00282,N0110,N0121,SPATIAL,0.102441854774952,3,0,2.27790432801822
G00283,N0111,N0115,SPATIAL,0.467964321374893,1,0,0.759301442672744
G00284,N0111,N0118,SPATIAL,0.218963593244553,2,0,1.51860288534548
G00285,N0111,N0122,SPATIAL,0.102441854774952,3,0,2.27790432801822
G00286,N0112,N0119,SPATIAL,0.218568727374077,2.82842712474619,0.0125663289800286,1.52012148823082
G00287,N0112,N0123,SPATIAL,0.102441854774952,3,0,2.27790432801822
G00288,N0113,N0120,SPATIAL,0.219321563839912,3.60555127546399,0.0188498497009277,1.51632498101747
G00289,N0113,N0093,SPATIAL,0.0224144272506237,5,0,3.7965072133637
G00290,N0114,N0121,SPATIAL,0.218568727374077,2.82842712474619,0.0125663923099637,1.52012148823083
G00291,N0115,N0118,SPATIAL,0.467964321374893,1,0,0.75930144267274
