event_id,peak_order,source_sample,target_time_sec,phase_rad,cycle_id,salience,next_interval_samples,next_interval_sec,row,column
E092,92,550563,23.2095671981777,3.53743332794211,30,0.7602236,216,0.164009111617312,563,551
E093,93,550779,23.373576309795,4.8946013542929,30,0.6278847,221,0.167805618830676,779,551
E094,94,551000,23.5413819286257,0,31,0.801718,260,0.197418375094913,1000,551
E095,95,551260,23.7388003037206,1.63362817986669,31,0.7819003,303,0.230068337129841,260,552
E096,96,551563,23.9688686408504,3.53743332794211,31,0.742293,206,0.156416097190585,563,552
E097,97,551769,24.125284738041,4.8317695012211,31,0.6411772,231,0.175398633257403,769,552
E098,98,552000,24.3006833712984,0,32,0.8143683,260,0.197418375094913,1000,552
E099,99,552260,24.4981017463933,1.63362817986669,32,0.7715082,303,0.230068337129841,260,553
E100,100,552563,24.7281700835232,3.53743332794211,32,0.736491,208,0.15793470007593,563,553
E101,101,552771,24.8861047835991,4.84433587183546,32,0.6540086,227,0.172361427486712,771,553
E102,102,552998,25.0584662110858,6.27061893656523,32,0.6689753,262,0.198936977980258,998,553
E103,103,553260,25.2574031890661,1.63362817986669,33,0.7640869,314,0.238420652999241,260,554
E104,104,553574,25.4958238420653,3.60654836632108,33,0.8007414,420,0.318906605922551,574,554
E105,105,553994,25.8147304479879,6.24548619533651,33,0.6687279,266,0.201974183750949,994,554
E106,106,554260,26.0167046317388,1.63362817986669,34,0.7462868,305,0.231586940015186,260,555
E107,107,554565,26.248291571754,3.54999969855647,34,0.6723082,203,0.154138192862566,565,555
E108,108,554768,26.4024297646166,4.82548631591392,34,0.6353382,232,0.176157934700076,768,555
E109,109,555000,26.5785876993166,0,35,0.8345641,260,0.197418375094913,1000,555
E110,110,555260,26.7760060744115,1.63362817986669,35,0.7133752,303,0.230068337129841,260,556
E111,111,555563,27.0060744115414,3.53743332794211,35,0.6515232,436,0.331055429005315,563,556
E112,112,555999,27.3371298405467,6.27690212187241,35,0.6986815,261,0.198177676537585,999,556
E113,113,556260,27.5353075170843,1.63362817986669,36,0.6307966,294,0.223234624145786,260,557
E114,114,556554,27.7585421412301,3.48088466017749,36,0.6602289,446,0.338648443432043,554,557
E115,115,557000,28.0971905846621,0,37,0.7967347,221,0.167805618830676,1000,557
E116,116,557221,28.2649962034928,1.38858395288669,37,0.6413627,231,0.175398633257403,221,558
E117,117,557452,28.4403948367502,2.83999975884517,37,0.6689331,541,0.410782080485953,452,558
E118,118,557993,28.8511769172361,6.23920301002933,37,0.6763195,262,0.198936977980258,993,558
E119,119,558255,29.0501138952164,1.60221225333079,38,0.6179758,294,0.223234624145786,255,559
E120,120,558549,29.2733485193622,3.44946873364159,38,0.6901682,451,0.342444950645406,549,559
E121,121,559000,29.6157934700076,0,39,0.8063185,454,0.344722854973424,1000,559
E122,122,559454,29.960516324981,2.85256612945953,39,0.6408516,NaN,NaN,454,560
